job_id,symbol,lane,experiment_type,priority,target_positives,target_rate,days_with_target,n_top_rules,best_score,best_f1,best_stability
73,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.7881790124581521,0.8571428571428571,0.7317540486252117
74,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.7881790124581521,0.8571428571428571,0.7317540486252117
43,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.5628990300385999,0.6,0.5325436909792725
44,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.5628990300385999,0.6,0.5325436909792725
379,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,3,0.00010015691249624411,3,25,0.5628990300385999,0.6,0.5325436909792725
380,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,3,0.00010015691249624411,3,25,0.5628990300385999,0.6,0.5325436909792725
103,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.4940929935163053,0.5454545454545454,0.45206990556683607
104,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.4940929935163053,0.5454545454545454,0.45206990556683607
37,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.4673941802315993,0.8,0.19526214587563495
373,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,3,0.00010015691249624411,3,25,0.4673941802315993,0.8,0.19526214587563495
61,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.45172530872070654,0.5,0.41222783403764823
62,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.45172530872070654,0.5,0.41222783403764823
65,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.45172530872070654,0.5,0.41222783403764823
229,ASH_COATED_OSMIUM,p3_seeded,timestamp_window_search,high,9,0.00030053093799044977,3,25,0.4052632275469694,0.42857142857142855,0.3861928812542302
230,ASH_COATED_OSMIUM,p3_seeded,timestamp_window_search,high,9,0.00030053093799044977,3,25,0.4052632275469694,0.42857142857142855,0.3861928812542302
38,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,4,0.00013354254999499215,3,25,0.3768987152527035,0.6666666666666666,0.13981584591400642
374,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,4,0.00013354254999499215,3,25,0.3768987152527035,0.6666666666666666,0.13981584591400642
433,INTARIAN_PEPPER_ROOT,drift_search,timestamp_window_search,medium,1,3.338563749874804e-05,1,25,0.3740608468982659,1.0,-0.13807118745769836
434,INTARIAN_PEPPER_ROOT,drift_search,timestamp_window_search,medium,1,3.338563749874804e-05,1,25,0.3740608468982659,1.0,-0.13807118745769836
437,INTARIAN_PEPPER_ROOT,drift_search,timestamp_window_search,medium,1,3.338563749874804e-05,1,25,0.3740608468982659,1.0,-0.13807118745769836
55,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,7,0.00023369946249123628,3,25,0.37031475654326895,0.42857142857142855,0.3226502067020475
1,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,5,0.0001669281874937402,3,25,0.3684396922040786,0.4,0.34261762218923364
331,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,5,0.0001669281874937402,3,25,0.3684396922040786,0.4,0.34261762218923364
77,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.337980347757297,0.375,0.30769154137690363
107,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.337980347757297,0.375,0.30769154137690363
2,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,7,0.00023369946249123628,3,25,0.33709425253831576,0.3529411764705882,0.3241285875028201
233,ASH_COATED_OSMIUM,p3_seeded,timestamp_window_search,high,9,0.00030053093799044977,3,25,0.33333333333333337,0.3333333333333333,0.3333333333333333
56,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,10,0.0003338563749874804,3,25,0.313452812772601,0.3529411764705882,0.28114415156515693
59,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,10,0.0003338563749874804,3,25,0.313452812772601,0.3529411764705882,0.28114415156515693
17,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.31314973438454907,0.35294117647058826,0.280593099950517
23,ASH_COATED_OSMIUM,p3_seeded,timestamp_window_search,high,6,0.00020035395866029986,3,25,0.31314973438454907,0.3529411764705882,0.280593099950517
353,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,3,0.00010015691249624411,3,25,0.31314973438454907,0.35294117647058826,0.280593099950517
359,ASH_COATED_OSMIUM,no_prior,timestamp_window_search,medium,6,0.00020035395866029986,3,25,0.31314973438454907,0.3529411764705882,0.280593099950517
25,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.3110455470376877,0.33333333333333337,0.29281008552306853
26,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.3110455470376877,0.33333333333333337,0.29281008552306853
67,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.3110455470376877,0.33333333333333337,0.29281008552306853
361,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,3,0.00010015691249624411,3,25,0.3110455470376877,0.33333333333333337,0.29281008552306853
362,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,3,0.00010015691249624411,3,25,0.3110455470376877,0.33333333333333337,0.29281008552306853
332,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,8,0.0002670850999899843,3,25,0.31104554703768766,0.33333333333333326,0.29281008552306853
49,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.304362128883209,0.3157894736842105,0.295012483136935
50,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.304362128883209,0.3157894736842105,0.295012483136935
271,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,173,0.0057757152872834104,3,25,0.2984343379746621,0.30952380952380953,0.2893611339799051
274,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,173,0.0057757152872834104,3,25,0.2984343379746621,0.30952380952380953,0.2893611339799051
133,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.2965961201543995,0.5,0.13017476391709
134,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.2965961201543995,0.5,0.13017476391709
13,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.2886333267164892,0.3157894736842105,0.26641466101562633
349,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,3,0.00010015691249624411,3,25,0.2886333267164892,0.3157894736842105,0.26641466101562633
53,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.2885267069951555,0.3,0.2791394672639191
